Italy,ITA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,81.2
Jamaica,JAM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.695
Jordan,JOR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.677
Japan,JPN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,81.25
Kazakhstan,KAZ,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.84
Kenya,KEN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.288
Kyrgyz Republic,KGZ,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.4
Cambodia,KHM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.226
Kiribati,KIR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.97
St. Kitts and Nevis,KNA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
"Korea, Rep.",KOR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.7
Kuwait,KWT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,78.232
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.74087446
Lao PDR,LAO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,65.793
Lebanon,LBN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.784
Liberia,LBR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.525
Libya,LBY,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.017
St. Lucia,LCA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.023
Latin America & Caribbean,LCN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.78027023
Least developed countries: UN classification,LDC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.62160131
Low income,LIC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.5557322
Liechtenstein,LIE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.7
Sri Lanka,LKA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.983
Lower middle income,LMC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.32082196
